;Genre;Console;Editeur;Developpeur;Version;Titre;Complement version;Etat;Boite;Etat boite;Notice;Etat notice;Informations;Cotation;Lien
;;;;;;Gx4000 (Amastrad);;;;;;;;;
;Combat 2D;25;Palace Software;1;EU;Barbarian 2 ;;;;;;;;;http://fr.wikipedia.org/wiki/Barbarian_II:_The_Dungeon_of_Drax
;Action-plateforme;25;Ocean Software;1;EU;Batman : The Movie ;;;;;;;;;http://fr.wikipedia.org/wiki/Batman:_The_Movie
;Arcade voiture ;25;Ocean Software;1;EU;Burning rubber ;;;;;;;;;http://fr.wikipedia.org/wiki/Burnin%27_Rubber_%28GX-4000%29
;combat motorisé;25;Titus Interactive;1;EU;Fire & Forget II ;;;;;;;;;http://fr.wikipedia.org/wiki/Fire_and_Forget_II
;;;;1;;;;;;;;;;;
;;;;1;;2600 (Atari);;;;;;;;;
;Beat them all;26;;1;;Action force ;;;;;;;;;
;Shoot them up ;26;Atari;1;;Air-Sea Battle ;;;;;;;;;http://fr.wikipedia.org/wiki/Air-Sea_Battle
;Arcade char d'assaut;26;Atari;1;;Battlezone;;;;;;;;;http://fr.wikipedia.org/wiki/Battlezone
;Puzzle game ;26;;1;;Big Bird's Egg Catch ;;;;;;;;;
;Shoot them up ;26;Sega;1;;Carnival ;;;;;;;;;http://fr.wikipedia.org/wiki/Carnival_%28jeu_vid%C3%A9o%29
;Shoot them up ;26;Atari;1;;Centipede ;;;;;;;;;http://fr.wikipedia.org/wiki/Centipede
;Tir/action ;26;;1;;Combat ;;;;;;;;;
;Action;26;;1;;Desert Falcon ;;;;;;;;;
;Labyrinthe;26;Namco;1;;Dig Dug ;;;;;;;;;http://fr.wikipedia.org/wiki/Dig_Dug
;Plate-forme 2D;26;Nintendo;1;;Donkey Kong ;;;;;;;;;http://fr.wikipedia.org/wiki/Donkey_Kong_%28jeu_vid%C3%A9o%29
;Action;26;;1;;Fire Fighter ;;;;;;;;;
;Plate-forme 2D;26;Atari;1;;Haunted House ;;;;;;;;;http://fr.wikipedia.org/wiki/Haunted_House_%28Atari_2600%29
;Simulation voiture;26;;1;;Indy 500 ;;;;;;;;;
